iter	MultiClass
0	1.03431199
1	0.9694670648
2	0.9038329222
3	0.8593603162
4	0.8150862751
5	0.7793219822
6	0.741652652
7	0.7091120805
8	0.675174045
9	0.6412662201
1010	0.6036091711111	0.5715031201212	0.5455883738
13	0.5203427121
14	0.4989342044
15	0.4840143997
16	0.4641729592
17	0.4469875102
18	0.4345076791
19	0.414097712020	0.3992523289
21	0.3875015182222	0.3744085642323	0.362034768
24	0.3472500323
25	0.332873034
26	0.3222916346
27	0.3078627603
28	0.298542886
29	0.2889958059
30	0.2803732173
31	0.2728922849
32	0.2655900697
33	0.2549541773
34	0.2461910707
35	0.2381228885
36	0.2329395308
37	0.2268207942
38	0.2227053719
39	0.2168621735
40	0.2120720263
41	0.2060505464
42	0.2000400794
43	0.1937822118
44	0.1863932644
45	0.180976568
46	0.1760486369
47	0.1724756031
48	0.1676436816
49	0.1642217659
50	0.1595919958
51	0.1560822507
52	0.1520359013
53	0.1487323142
54	0.1451052593
55	0.1410581431
56	0.1379668975
57	0.1352137416
58	0.1324165041
59	0.1301408503
60	0.1266785132
61	0.1245879087
62	0.1224125779
63	0.1194962684
64	0.1173710341
65	0.1151149128
66	0.1131564922
67	0.1111983847
68	0.1082918726
69	0.10630736
70	0.1044189339
71	0.1022578458
72	0.1002370346
73	0.09840078825
74	0.09690109679
75	0.09496758821
76	0.09317127056
77	0.09146531096
78	0.09003488567
79	0.08755240164
8081	0.1246797018882	0.123440352
83	0.1218935748
84	0.1201258357
85	0.1185909951
86	0.1172315167
87	0.1153668736
88	0.114284716
89	0.1124077637
90	0.1189	0.07452485382
90	0.07357547437
91	0.07256986349
92	0.094	0.10495593	0.95	0.104093594	096	0.1027810795	97	0.1017387429698	0.1009299969999	0.099947307899100	0.099060963899101	0.09792005785
102	0.09633216926
103	0.09482641303
104	0.0938765061
105	0.09249693578
106	0.09118695748
107	0.09007939588
108	0.08910769163
109	0.0880522323
110	0.08687916422
111	0.08565804887
112	0.08444979006
113	0.0837482359
114	0.08297310024
115	0.08194892768
116	0.08094153343
117	0.08020743962
118	0.07927478445
119	0.07811960538
120	0.0775423704
121	0.07661666106
122	0.07580604418
123	0.07480257333
124	0.07398377801
125	0.07300970523
126	0.07209006186
127	0.07144429198
128	0.07082134678
129	0.07017367934
130	0.06946280028
131	0.06878090362
132	0.0681887987
133	0.06732533475
134	0.06673601883
135	0.06607045928
136	0.06551609275
137	0.0648990879
138	0.06445389488
139	0.06369155827
140	0.06301210451
141	0.06226329545
142	0.06171161188
143	0.06099217276
144	0.06041553688
145	0.05993069777
146	0.05943908105
147	0.05902567012
148	0.05841658906
149	0.05790469448
150	0.05759551096
151	0.05710034509
152	0.05647389286
153	0.0560883999
154	0.05571606306
155	0.0551161903
156	0.05471289554
157	0.05437554268
158	0.0539754244
159	0.05354209815
160	0.05310107619
161	0.05271843517
162	0.05219981893
163	0.05178764759
164	0.05140890884
165	0.05103483463
166	0.05064330536
167	0.05030571126
168	0.04998936955
169	0.04967750294
170	0.04929189968
171	0.04894785338
172	0.04870670643
173	0.04820847883
174	0.04796698156
175	0.0476677351
176	0.04730191162
177	0.04699319207
178	0.0465360481
179	0.04626240996
180	0.04602299619
181	0.04572476657
182	0.04545223621
183	0.04502504935
184	0.04473950806
185	0.04446640658
186	0.04420688347
187	0.04389989015
188	0.04352018422
189	0.04325035151
190	0.04299608366
191	0.04268788786
192	0.04244325966
193	0.0421594266
194	0.04185060863
195	0.041541812
196	0.04137467312
197	0.04106453974
198	0.04077465099
199	0.04058907147
200	0.04032989915
201	0.03999737412
202	0.03980865639
203	0.03950927424
204	0.03916240051
205	0.03887720251
206	0.03858347308
207	0.03839992323
208	0.03822163826
209	0.03799731236
210	0.03781868625
211	0.03756171133
212	0.03733757818
213	0.03719038636
214	0.03700764335
215	0.03680945845
216	0.03661291687
217	0.03644049893
218	0.03616772892
219	0.03602890858
220	0.03584027382
221	0.03557952348
222	0.03542449203
223	0.03521600578
224	0.03493925647
225	0.03472310914
226	0.03449337448
227	0.03428839876
228	0.03409972224
229	0.03396747064
230	0.03383953029
231	0.03364801261
232	0.03344508366
233	0.03325346791
234	0.03302754866
235	0.03284989102
236	0.03268251896
237	0.03251317392
238	0.03228397307
239	0.03214540122
240	0.03195539654
241	0.03185085238
242	0.03162842457
243	0.03147627428
244	0.03131053226
245	0.03116337267
246	0.03103009905
247	0.03093302872
248	0.03072428131
249	0.03060229626
250	0.03043078654
251	0.03030250267
252	0.03010826227
253	0.02999492438
254	0.02986147051
255	0.02975780347
256	0.02964136919
257	0.02951070009
258	0.02939676181
259	0.02920676793
260	0.02910789683
261	0.02899153387
262	0.02885945707
263	0.02876410199
264	0.02865119436
265	0.02849531708
266	0.02833264845
267	0.02824777758
268	0.02814139908
269	0.02797602771
270	0.0278329422
271	0.02774041593
272	0.02768159043
273	0.02757192726
274	0.0274682808
275	0.0273652524
276	0.02726157705
277	0.02718359588
278	0.02704177826
279	0.02688444668
280	0.02680240041
281	0.02671591521
282	0.02664729755
283	0.02651393492
284	0.02644159843
285	0.02629465623
286	0.02622466837
287	0.02607547464
288	0.02595476937
289	0.02587926128
290	0.02578085094
291	0.02567125226
292	0.02556020288
293	0.02547500518
294	0.02538245832
295	0.0252732166
296	0.02519326306
297	0.02512165253
298	0.02502481894
299	0.02493403942
300	0.02485727977
301	0.02472251498
302	0.02461918691
303	0.02452180367
304	0.02441851957
305	0.02434510833
306	0.02424414385
307	0.0241857799
308	0.02409042605
309	0.02401328574
310	0.02390749367
311	0.02379070744
312	0.02371055335
313	0.02362162912
314	0.0235448898
315	0.02345605484
316	0.02338937428
317	0.02329158374
318	0.02322477803
319	0.02315328751
320	0.02308933118
321	0.02300865834
322	0.02293165934
323	0.0228442228
324	0.02275945543
325	0.0226456851
326	0.0225728773
327	0.02248853838
328	0.02239282504
329	0.02232988843
330	0.02225091066
331	0.02216518244
332	0.02209972925
333	0.02203313654
334	0.02196650791
335	0.02188263935
336	0.02183132817
337	0.0217231667
338	0.02167322178
339	0.02159320397
340	0.02152015359
341	0.02141829361
342	0.02133999905
343	0.0212825906
344	0.0212218537
345	0.02115996705
346	0.02109765766
347	0.02102954721
348	0.02097272897
349	0.02090589043
350	0.02083655838
351	0.02077075576
352	0.02069313079
353	0.02062092215
354	0.02051583355
355	0.02041918098
356	0.02034654653
357	0.02030108872
358	0.02024253149
359	0.02018663542
360	0.02011885721
361	0.02005567038
362	0.0200130567
363	0.01995959555
364	0.01990929255
365	0.01983623554
366	0.01977291389
367	0.01968827785
368	0.01958473865
369	0.01949899359
370	0.01944388036
371	0.01935739841
372	0.01927603617
373	0.0192217965
374	0.01916569569
375	0.01908161106
376	0.01903498617
377	0.01897882113
378	0.01893683751
379	0.01887521463
380	0.01881232508
381	0.01876409079
